policy,seed count,impressed,min_non_zero_prob,min_prob,avg_prob,zero_prob_count,consistency,corr,consistency2,consistency3,corr2,corr3,corr4,partition1_sp,partition2_sp,partition_diff,partition1_sp_min,partition2_sp_min,partition_min_diff,partition1_prox,partition2_prox,partition_prox_diff,partition1_prox_min,partition2_prox_min,partition_prox_min_diff,num_nodes_closer_to_T,saved_fraction,avg_sp_at_distance,avg_prox_at_distance,avg_vul_at_distance,std_dev_sp_at_distance,improved_sp_at_distance,avg_proximity_of_T,gini_coef,gini_coeff_list
degree,0,51247.740000000005,0.01,0.0,0.2509064066770935,18465,0.7928714835495565,-1.0,0.7064261079801637,0.0,0.4738655591146425,0.0,0.0,0.2522399929826613,0.2496462195193263,-0.002593773463335,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.603488685306395,[]
pagerank,0,51247.740000000005,0.01,0.0,0.2509064066770935,18465,0.7928714835495565,-1.0,0.7064261079801637,0.0,0.4738655591146425,0.0,0.0,0.2522399929826613,0.2496462195193263,-0.002593773463335,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.603488685306395,[]
cmia-o,0,51247.740000000005,0.01,0.0,0.2509064066770935,18465,0.7928714835495565,-1.0,0.7064261079801637,0.0,0.4738655591146425,0.0,0.0,0.2522399929826613,0.2496462195193263,-0.002593773463335,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.603488685306395,[]
biog,0,51247.740000000005,0.01,0.0,0.2509064066770935,18465,0.7928714835495565,-1.0,0.7064261079801637,0.0,0.4738655591146425,0.0,0.0,0.2522399929826613,0.2496462195193263,-0.002593773463335,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.603488685306395,[]
rbf,0,51247.740000000005,0.01,0.0,0.2509064066770935,18465,0.7928714835495565,-1.0,0.7064261079801637,0.0,0.4738655591146425,0.0,0.0,0.2522399929826613,0.2496462195193263,-0.002593773463335,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.603488685306395,[]
fair-cmia-o,0,51247.740000000005,0.01,0.0,0.2509064066770935,18465,0.7928714835495565,-1.0,0.7064261079801637,0.0,0.4738655591146425,0.0,0.0,0.2522399929826613,0.2496462195193263,-0.002593773463335,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.603488685306395,[]
myopic_maximin,0,51247.740000000005,0.01,0.0,0.2509064066770935,18465,0.7928714835495565,-1.0,0.7064261079801637,0.0,0.4738655591146425,0.0,0.0,0.2522399929826613,0.2496462195193263,-0.002593773463335,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.603488685306395,[]
protect,0,51247.740000000005,0.01,0.0,0.2509064066770935,18465,0.7928714835495565,-1.0,0.7064261079801637,0.0,0.4738655591146425,0.0,0.0,0.2522399929826613,0.2496462195193263,-0.002593773463335,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.603488685306395,[]
naive_protect,0,51247.740000000005,0.01,0.0,0.2509064066770935,18465,0.7928714835495565,-1.0,0.7064261079801637,0.0,0.4738655591146425,0.0,0.0,0.2522399929826613,0.2496462195193263,-0.002593773463335,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.603488685306395,[]
degree,5,25917.22,0.01,0.0,0.6211652756055136,58,0.7599278176490774,-0.6183849640194704,0.7438059682292026,0.1726586669451366,0.376533975276883,0.7514405605031499,0.0339877222088074,0.6218756761498201,0.6206365124846501,-0.0012391636651699,0.0,0.0,0.0,2.82877693634689,2.826501374188644,-0.0022755621582466,0.0,0.0,0.0,3485.0,0.4942758451397076,"[0.7756087981146896, 0.6067676674789646, 0.5986147254839733, 0.6549923532785318, 0.7710285075461151]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.7756087981146896, 0.6067676674789646, 0.5986147254839733, 0.6549923532785318, 0.7710285075461151]","[0.15454352920982914, 0.22038054179151237, 0.23351285272695843, 0.22131969569595458, 0.188056619368694]","[0.7347604084838962, 0.4852967952549542, 0.32948079974611233, 0.2134219078570063, 0.13354946897708214]",1.0,0.2089453865617663,"[0.11285989288458166, 0.20740710077540478, 0.22228828003615878, 0.1917829555387722, 0.13579656363484396]"
